name,type,location_city,location_department,area_ha,price_per_ha,transaction_type,soil_type,water_source,altitude,image_url,polygon_data,is_listed,current_valuation,source_note
Predio Las Planadas,Agrícola,Paramo,Colombia,1,0,Venta,"Arveja, Papa",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Arveja, Papa. Usuarios fuente: Usuario Numero 15, Usuario Numero 16. Secuencias: 15, 16."
Predio Paramo,Agrícola,Paramo,Colombia,1,0,Venta,Mora Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora Uva. Usuarios fuente: Usuario Numero 17, Usuario Numero 62. Secuencias: 17, 62."
Predio San Luis,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 18. Secuencias: 18.
Predio El Charquito,Agrícola,Paramo,Colombia,1,0,Venta,Mora Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Uva. Usuarios fuente: Usuario Numero 19. Secuencias: 19.
Predio Merchan,Agrícola,Paramo,Colombia,1,0,Venta,Tomate De Arbol,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Tomate De Arbol. Usuarios fuente: Usuario Numero 21. Secuencias: 21.
Predio El Mirador,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 22. Secuencias: 22.
Predio Agua Blanca,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 23. Secuencias: 23.
Predio El Papayo,Agrícola,Paramo,Colombia,1,0,Venta,Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Uva. Usuarios fuente: Usuario Numero 24. Secuencias: 24.
Predio Tiparuco,Agrícola,Paramo,Colombia,1,0,Venta,"Mora Uva, Papa",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora Uva, Papa. Usuarios fuente: Usuario Numero 26, Usuario Numero 32. Secuencias: 26, 32."
Predio Buena Vista,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 28. Secuencias: 28.
